stratum,scenario_id,field,dev_value,full_value,source_file,cached_image,category_full,description,adjudicated_value,adjudicator,rationale
conflict,AOBv2-REAL-003,instrument_status,,,data_detection/images/test/IMG_20220106_104253.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104253.jpg,occlusion,"The gauge is partially obscured by snow accumulation on top of the piping and fittings around it, making a full reading difficult.",,,
conflict,AOBv2-REAL-003,description_accurate,,,data_detection/images/test/IMG_20220106_104253.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104253.jpg,occlusion,"The gauge is partially obscured by snow accumulation on top of the piping and fittings around it, making a full reading difficult.",,,
conflict,AOBv2-REAL-004,recommended_action,CLEAN_GAUGE,ROUTE_UPDATE,data_detection/images/test/IMG_20220106_104256.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104256.jpg,scale_interpretation,"The gauge is too small and far to reliably read the graduation marks and the exact value indicated by the needle, though the needle is visible.",,,
conflict,AOBv2-REAL-004,category,gauge_degradation,scale_interpretation,data_detection/images/test/IMG_20220106_104256.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104256.jpg,scale_interpretation,"The gauge is too small and far to reliably read the graduation marks and the exact value indicated by the needle, though the needle is visible.",,,
conflict,AOBv2-REAL-004,asset,Compressor,Pipeline system,data_detection/images/test/IMG_20220106_104256.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104256.jpg,scale_interpretation,"The gauge is too small and far to reliably read the graduation marks and the exact value indicated by the needle, though the needle is visible.",,,
conflict,AOBv2-REAL-004,instrument_status,,,data_detection/images/test/IMG_20220106_104256.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104256.jpg,scale_interpretation,"The gauge is too small and far to reliably read the graduation marks and the exact value indicated by the needle, though the needle is visible.",,,
conflict,AOBv2-REAL-004,description_accurate,,,data_detection/images/test/IMG_20220106_104256.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104256.jpg,scale_interpretation,"The gauge is too small and far to reliably read the graduation marks and the exact value indicated by the needle, though the needle is visible.",,,
conflict,AOBv2-REAL-005,gauge_readable,false,true,data_detection/images/test/IMG_20220106_104312.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104312.jpg,gauge_degradation,"The gauge's dial face shows significant wear, scratches, and dirt, and the needle itself is partially obscured by degradation on the protective cover, making an accurate reading challenging.",,,
conflict,AOBv2-REAL-005,gauge_value,UNREADABLE,0.4,data_detection/images/test/IMG_20220106_104312.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104312.jpg,gauge_degradation,"The gauge's dial face shows significant wear, scratches, and dirt, and the needle itself is partially obscured by degradation on the protective cover, making an accurate reading challenging.",,,
conflict,AOBv2-REAL-005,asset,Chemical plant pipeline,Unknown industrial equipment,data_detection/images/test/IMG_20220106_104312.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104312.jpg,gauge_degradation,"The gauge's dial face shows significant wear, scratches, and dirt, and the needle itself is partially obscured by degradation on the protective cover, making an accurate reading challenging.",,,
conflict,AOBv2-REAL-005,instrument_status,,,data_detection/images/test/IMG_20220106_104312.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104312.jpg,gauge_degradation,"The gauge's dial face shows significant wear, scratches, and dirt, and the needle itself is partially obscured by degradation on the protective cover, making an accurate reading challenging.",,,
conflict,AOBv2-REAL-005,description_accurate,,,data_detection/images/test/IMG_20220106_104312.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104312.jpg,gauge_degradation,"The gauge's dial face shows significant wear, scratches, and dirt, and the needle itself is partially obscured by degradation on the protective cover, making an accurate reading challenging.",,,
conflict,AOBv2-REAL-006,asset,Compressor,Unknown,data_detection/images/test/IMG_20220106_104433.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104433.jpg,gauge_degradation,"The gauge face is obscured by corrosion, dirt, and possibly frost or ice, making the markings and needle difficult to read.",,,
conflict,AOBv2-REAL-006,instrument_status,,,data_detection/images/test/IMG_20220106_104433.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104433.jpg,gauge_degradation,"The gauge face is obscured by corrosion, dirt, and possibly frost or ice, making the markings and needle difficult to read.",,,
conflict,AOBv2-REAL-006,description_accurate,,,data_detection/images/test/IMG_20220106_104433.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104433.jpg,gauge_degradation,"The gauge face is obscured by corrosion, dirt, and possibly frost or ice, making the markings and needle difficult to read.",,,
conflict,AOBv2-REAL-007,asset,Boiler,Storage tank,data_detection/images/test/IMG_20220106_104436.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104436.jpg,gauge_degradation,"The gauge face is dirty and partially covered with what appears to be frost or moisture, making the exact reading difficult to discern.",,,
conflict,AOBv2-REAL-007,instrument_status,,,data_detection/images/test/IMG_20220106_104436.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104436.jpg,gauge_degradation,"The gauge face is dirty and partially covered with what appears to be frost or moisture, making the exact reading difficult to discern.",,,
conflict,AOBv2-REAL-007,description_accurate,,,data_detection/images/test/IMG_20220106_104436.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104436.jpg,gauge_degradation,"The gauge face is dirty and partially covered with what appears to be frost or moisture, making the exact reading difficult to discern.",,,
conflict,AOBv2-REAL-008,asset,Boiler,Storage tanks,data_detection/images/test/IMG_20220106_104447.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104447.jpg,occlusion,"A cable is directly draped over the face of the industrial gauge, completely obscuring the dial and preventing any reading.",,,
conflict,AOBv2-REAL-008,instrument_status,,,data_detection/images/test/IMG_20220106_104447.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104447.jpg,occlusion,"A cable is directly draped over the face of the industrial gauge, completely obscuring the dial and preventing any reading.",,,
conflict,AOBv2-REAL-008,description_accurate,,,data_detection/images/test/IMG_20220106_104447.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104447.jpg,occlusion,"A cable is directly draped over the face of the industrial gauge, completely obscuring the dial and preventing any reading.",,,
conflict,AOBv2-REAL-009,asset,Chemical storage tank,Industrial storage tank,data_detection/images/test/IMG_20220106_104507.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104507.jpg,gauge_degradation,"The gauge face is obscured by significant dirt, corrosion, and general degradation, making it difficult to read any values or scale markings.",,,
conflict,AOBv2-REAL-009,instrument_status,,,data_detection/images/test/IMG_20220106_104507.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104507.jpg,gauge_degradation,"The gauge face is obscured by significant dirt, corrosion, and general degradation, making it difficult to read any values or scale markings.",,,
conflict,AOBv2-REAL-009,description_accurate,,,data_detection/images/test/IMG_20220106_104507.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104507.jpg,gauge_degradation,"The gauge face is obscured by significant dirt, corrosion, and general degradation, making it difficult to read any values or scale markings.",,,
conflict,AOBv2-REAL-010,gauge_readable,false,true,data_detection/images/test/IMG_20220106_104509.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104509.jpg,gauge_degradation,A robot inspector would face challenges reading this gauge due to dust and grime accumulation on the dial face and corrosion on the casing.,,,
conflict,AOBv2-REAL-010,gauge_value,UNREADABLE,50,data_detection/images/test/IMG_20220106_104509.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104509.jpg,gauge_degradation,A robot inspector would face challenges reading this gauge due to dust and grime accumulation on the dial face and corrosion on the casing.,,,
conflict,AOBv2-REAL-010,asset,Boiler,Industrial processing equipment,data_detection/images/test/IMG_20220106_104509.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104509.jpg,gauge_degradation,A robot inspector would face challenges reading this gauge due to dust and grime accumulation on the dial face and corrosion on the casing.,,,
conflict,AOBv2-REAL-010,instrument_status,,,data_detection/images/test/IMG_20220106_104509.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104509.jpg,gauge_degradation,A robot inspector would face challenges reading this gauge due to dust and grime accumulation on the dial face and corrosion on the casing.,,,
conflict,AOBv2-REAL-010,description_accurate,,,data_detection/images/test/IMG_20220106_104509.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104509.jpg,gauge_degradation,A robot inspector would face challenges reading this gauge due to dust and grime accumulation on the dial face and corrosion on the casing.,,,
conflict,AOBv2-REAL-011,asset,Boiler,Storage tank,data_detection/images/test/IMG_20220106_104557.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104557.jpg,occlusion,A robot inspector would face challenges reading this gauge due to a portion of the dial being physically blocked by cables and its own mounting bracket.,,,
conflict,AOBv2-REAL-011,instrument_status,,,data_detection/images/test/IMG_20220106_104557.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104557.jpg,occlusion,A robot inspector would face challenges reading this gauge due to a portion of the dial being physically blocked by cables and its own mounting bracket.,,,
conflict,AOBv2-REAL-011,description_accurate,,,data_detection/images/test/IMG_20220106_104557.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104557.jpg,occlusion,A robot inspector would face challenges reading this gauge due to a portion of the dial being physically blocked by cables and its own mounting bracket.,,,
conflict,AOBv2-REAL-012,gauge_value,1.5,0.85,data_detection/images/test/IMG_20220106_104844.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104844.jpg,gauge_degradation,A robot inspector would be able to clearly read the gauge value as the dial face is clean and the pointer is distinct.,,,
conflict,AOBv2-REAL-012,asset,Boiler,Unknown pressure system,data_detection/images/test/IMG_20220106_104844.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104844.jpg,gauge_degradation,A robot inspector would be able to clearly read the gauge value as the dial face is clean and the pointer is distinct.,,,
conflict,AOBv2-REAL-012,instrument_status,,,data_detection/images/test/IMG_20220106_104844.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104844.jpg,gauge_degradation,A robot inspector would be able to clearly read the gauge value as the dial face is clean and the pointer is distinct.,,,
conflict,AOBv2-REAL-012,description_accurate,,,data_detection/images/test/IMG_20220106_104844.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104844.jpg,gauge_degradation,A robot inspector would be able to clearly read the gauge value as the dial face is clean and the pointer is distinct.,,,
conflict,AOBv2-REAL-013,asset,Boiler,Pipeline system,data_detection/images/test/IMG_20220106_104909_1.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104909_1.jpg,gauge_degradation,"The gauge's dial face is partially obscured by significant rust and degradation, making it difficult to discern the full scale and pointer position.",,,
conflict,AOBv2-REAL-013,instrument_status,,,data_detection/images/test/IMG_20220106_104909_1.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104909_1.jpg,gauge_degradation,"The gauge's dial face is partially obscured by significant rust and degradation, making it difficult to discern the full scale and pointer position.",,,
conflict,AOBv2-REAL-013,description_accurate,,,data_detection/images/test/IMG_20220106_104909_1.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_104909_1.jpg,gauge_degradation,"The gauge's dial face is partially obscured by significant rust and degradation, making it difficult to discern the full scale and pointer position.",,,
conflict,AOBv2-REAL-014,gauge_value,85,90,data_detection/images/test/IMG_20220106_105051.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105051.jpg,gauge_degradation,"The gauge is clean and unobstructed, with clear markings and a visible needle, allowing for a precise reading.",,,
conflict,AOBv2-REAL-014,instrument_status,,,data_detection/images/test/IMG_20220106_105051.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105051.jpg,gauge_degradation,"The gauge is clean and unobstructed, with clear markings and a visible needle, allowing for a precise reading.",,,
conflict,AOBv2-REAL-014,description_accurate,,,data_detection/images/test/IMG_20220106_105051.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105051.jpg,gauge_degradation,"The gauge is clean and unobstructed, with clear markings and a visible needle, allowing for a precise reading.",,,
conflict,AOBv2-REAL-015,instrument_status,,,data_detection/images/test/IMG_20220106_105111.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105111.jpg,scale_interpretation,"The gauge is too far away and appears to be slightly out of focus, making it difficult to read the exact graduation marks and the needle's position with certainty.",,,
conflict,AOBv2-REAL-015,description_accurate,,,data_detection/images/test/IMG_20220106_105111.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105111.jpg,scale_interpretation,"The gauge is too far away and appears to be slightly out of focus, making it difficult to read the exact graduation marks and the needle's position with certainty.",,,
conflict,AOBv2-REAL-016,instrument_status,,,data_detection/images/test/IMG_20220106_105132.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105132.jpg,gauge_degradation,"A robot inspector would face challenges reading this gauge due to what appears to be dirt or dust accumulation on the dial face and the glass cover, making the numbers and needle less clear.",,,
conflict,AOBv2-REAL-016,description_accurate,,,data_detection/images/test/IMG_20220106_105132.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105132.jpg,gauge_degradation,"A robot inspector would face challenges reading this gauge due to what appears to be dirt or dust accumulation on the dial face and the glass cover, making the numbers and needle less clear.",,,
conflict,AOBv2-REAL-017,gauge_value,0.8,0.4,data_detection/images/test/IMG_20220106_105238.jpg,,gauge_degradation,A robot inspector would have no visual challenges reading this gauge as it is clean and well-lit.,,,
conflict,AOBv2-REAL-017,asset,Compressor,Boiler,data_detection/images/test/IMG_20220106_105238.jpg,,gauge_degradation,A robot inspector would have no visual challenges reading this gauge as it is clean and well-lit.,,,
conflict,AOBv2-REAL-017,instrument_status,,,data_detection/images/test/IMG_20220106_105238.jpg,,gauge_degradation,A robot inspector would have no visual challenges reading this gauge as it is clean and well-lit.,,,
conflict,AOBv2-REAL-017,description_accurate,,,data_detection/images/test/IMG_20220106_105238.jpg,,gauge_degradation,A robot inspector would have no visual challenges reading this gauge as it is clean and well-lit.,,,
conflict,AOBv2-REAL-018,gauge_readable,true,false,data_detection/images/test/IMG_20220106_105244.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105244.jpg,gauge_degradation,A robot inspector would face a challenge reading this gauge due to the '停用证' (decommissioning certificate) label partially covering the dial face and obscuring some of the numerical markings.,,,
conflict,AOBv2-REAL-018,image_role,reference,query,data_detection/images/test/IMG_20220106_105244.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105244.jpg,gauge_degradation,A robot inspector would face a challenge reading this gauge due to the '停用证' (decommissioning certificate) label partially covering the dial face and obscuring some of the numerical markings.,,,
conflict,AOBv2-REAL-018,gauge_value,48,UNREADABLE,data_detection/images/test/IMG_20220106_105244.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105244.jpg,gauge_degradation,A robot inspector would face a challenge reading this gauge due to the '停用证' (decommissioning certificate) label partially covering the dial face and obscuring some of the numerical markings.,,,
conflict,AOBv2-REAL-018,asset,Compressor,Industrial pump,data_detection/images/test/IMG_20220106_105244.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105244.jpg,gauge_degradation,A robot inspector would face a challenge reading this gauge due to the '停用证' (decommissioning certificate) label partially covering the dial face and obscuring some of the numerical markings.,,,
conflict,AOBv2-REAL-018,instrument_status,,,data_detection/images/test/IMG_20220106_105244.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105244.jpg,gauge_degradation,A robot inspector would face a challenge reading this gauge due to the '停用证' (decommissioning certificate) label partially covering the dial face and obscuring some of the numerical markings.,,,
conflict,AOBv2-REAL-018,description_accurate,,,data_detection/images/test/IMG_20220106_105244.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105244.jpg,gauge_degradation,A robot inspector would face a challenge reading this gauge due to the '停用证' (decommissioning certificate) label partially covering the dial face and obscuring some of the numerical markings.,,,
conflict,AOBv2-REAL-019,gauge_readable,true,false,data_detection/images/test/IMG_20220106_105256.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105256.jpg,scale_interpretation,"A robot inspector would face the challenge of reading the exact graduation marks due to the small size of the gauge and the distance, making precise interpretation difficult.",,,
conflict,AOBv2-REAL-019,recommended_action,CLEAN_GAUGE,ROUTE_UPDATE,data_detection/images/test/IMG_20220106_105256.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105256.jpg,scale_interpretation,"A robot inspector would face the challenge of reading the exact graduation marks due to the small size of the gauge and the distance, making precise interpretation difficult.",,,
conflict,AOBv2-REAL-019,category,gauge_degradation,scale_interpretation,data_detection/images/test/IMG_20220106_105256.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105256.jpg,scale_interpretation,"A robot inspector would face the challenge of reading the exact graduation marks due to the small size of the gauge and the distance, making precise interpretation difficult.",,,
conflict,AOBv2-REAL-019,image_role,reference,query,data_detection/images/test/IMG_20220106_105256.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105256.jpg,scale_interpretation,"A robot inspector would face the challenge of reading the exact graduation marks due to the small size of the gauge and the distance, making precise interpretation difficult.",,,
conflict,AOBv2-REAL-019,gauge_value,0,UNREADABLE,data_detection/images/test/IMG_20220106_105256.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105256.jpg,scale_interpretation,"A robot inspector would face the challenge of reading the exact graduation marks due to the small size of the gauge and the distance, making precise interpretation difficult.",,,
conflict,AOBv2-REAL-019,instrument_status,,,data_detection/images/test/IMG_20220106_105256.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105256.jpg,scale_interpretation,"A robot inspector would face the challenge of reading the exact graduation marks due to the small size of the gauge and the distance, making precise interpretation difficult.",,,
conflict,AOBv2-REAL-019,description_accurate,,,data_detection/images/test/IMG_20220106_105256.jpg,/home/adityapachauri/AssetOpsBench/src/orchestrator/data/pmc_cache/IMG_20220106_105256.jpg,scale_interpretation,"A robot inspector would face the challenge of reading the exact graduation marks due to the small size of the gauge and the distance, making precise interpretation difficult.",,,
conflict,AOBv2-REAL-020,gauge_value,2,0,data_detection/images/test/IMG_20220106_105335.jpg,,gauge_degradation,"The gauge is clear, unobstructed, and well-lit, presenting no visual challenges for a robot inspector.",,,
conflict,AOBv2-REAL-020,instrument_status,,,data_detection/images/test/IMG_20220106_105335.jpg,,gauge_degradation,"The gauge is clear, unobstructed, and well-lit, presenting no visual challenges for a robot inspector.",,,
conflict,AOBv2-REAL-020,description_accurate,,,data_detection/images/test/IMG_20220106_105335.jpg,,gauge_degradation,"The gauge is clear, unobstructed, and well-lit, presenting no visual challenges for a robot inspector.",,,
random,AOBv2-REAL-083,gauge_readable,,false,data_detection/images/test/IMG_20220106_131130.jpg,,scale_interpretation,"The gauge is too small and far to accurately read the exact graduation marks and the pointer position, making precise interpretation difficult for an automated system.",,,
random,AOBv2-REAL-083,recommended_action,,ROUTE_UPDATE,data_detection/images/test/IMG_20220106_131130.jpg,,scale_interpretation,"The gauge is too small and far to accurately read the exact graduation marks and the pointer position, making precise interpretation difficult for an automated system.",,,
random,AOBv2-REAL-083,category,,scale_interpretation,data_detection/images/test/IMG_20220106_131130.jpg,,scale_interpretation,"The gauge is too small and far to accurately read the exact graduation marks and the pointer position, making precise interpretation difficult for an automated system.",,,
random,AOBv2-REAL-083,image_role,,query,data_detection/images/test/IMG_20220106_131130.jpg,,scale_interpretation,"The gauge is too small and far to accurately read the exact graduation marks and the pointer position, making precise interpretation difficult for an automated system.",,,
random,AOBv2-REAL-083,gauge_value,,UNREADABLE,data_detection/images/test/IMG_20220106_131130.jpg,,scale_interpretation,"The gauge is too small and far to accurately read the exact graduation marks and the pointer position, making precise interpretation difficult for an automated system.",,,
random,AOBv2-REAL-083,asset,,Control valve,data_detection/images/test/IMG_20220106_131130.jpg,,scale_interpretation,"The gauge is too small and far to accurately read the exact graduation marks and the pointer position, making precise interpretation difficult for an automated system.",,,
random,AOBv2-REAL-083,instrument_status,,,data_detection/images/test/IMG_20220106_131130.jpg,,scale_interpretation,"The gauge is too small and far to accurately read the exact graduation marks and the pointer position, making precise interpretation difficult for an automated system.",,,
random,AOBv2-REAL-083,description_accurate,,,data_detection/images/test/IMG_20220106_131130.jpg,,scale_interpretation,"The gauge is too small and far to accurately read the exact graduation marks and the pointer position, making precise interpretation difficult for an automated system.",,,
random,AOBv2-REAL-1005,gauge_readable,,true,data_detection/images/train/IMG_20220106_143254.jpg,,gauge_degradation,"The gauge's protective cover is corroded, and there is snow or ice partially obscuring the lower part of the dial, making the minimum range difficult to discern fully.",,,
random,AOBv2-REAL-1005,recommended_action,,CLEAN_GAUGE,data_detection/images/train/IMG_20220106_143254.jpg,,gauge_degradation,"The gauge's protective cover is corroded, and there is snow or ice partially obscuring the lower part of the dial, making the minimum range difficult to discern fully.",,,
random,AOBv2-REAL-1005,category,,gauge_degradation,data_detection/images/train/IMG_20220106_143254.jpg,,gauge_degradation,"The gauge's protective cover is corroded, and there is snow or ice partially obscuring the lower part of the dial, making the minimum range difficult to discern fully.",,,
random,AOBv2-REAL-1005,image_role,,query,data_detection/images/train/IMG_20220106_143254.jpg,,gauge_degradation,"The gauge's protective cover is corroded, and there is snow or ice partially obscuring the lower part of the dial, making the minimum range difficult to discern fully.",,,
random,AOBv2-REAL-1005,gauge_value,,400,data_detection/images/train/IMG_20220106_143254.jpg,,gauge_degradation,"The gauge's protective cover is corroded, and there is snow or ice partially obscuring the lower part of the dial, making the minimum range difficult to discern fully.",,,
random,AOBv2-REAL-1005,asset,,Pipeline system,data_detection/images/train/IMG_20220106_143254.jpg,,gauge_degradation,"The gauge's protective cover is corroded, and there is snow or ice partially obscuring the lower part of the dial, making the minimum range difficult to discern fully.",,,
random,AOBv2-REAL-1005,instrument_status,,,data_detection/images/train/IMG_20220106_143254.jpg,,gauge_degradation,"The gauge's protective cover is corroded, and there is snow or ice partially obscuring the lower part of the dial, making the minimum range difficult to discern fully.",,,
random,AOBv2-REAL-1005,description_accurate,,,data_detection/images/train/IMG_20220106_143254.jpg,,gauge_degradation,"The gauge's protective cover is corroded, and there is snow or ice partially obscuring the lower part of the dial, making the minimum range difficult to discern fully.",,,
random,AOBv2-REAL-1018,gauge_readable,,false,data_detection/images/train/IMG_20220106_143551.jpg,,gauge_degradation,"The gauge's dial is somewhat obscured by dirt or wear, and the lighting conditions combined with the angle make the specific graduation marks difficult to discern clearly.",,,
random,AOBv2-REAL-1018,recommended_action,,CLEAN_GAUGE,data_detection/images/train/IMG_20220106_143551.jpg,,gauge_degradation,"The gauge's dial is somewhat obscured by dirt or wear, and the lighting conditions combined with the angle make the specific graduation marks difficult to discern clearly.",,,
random,AOBv2-REAL-1018,category,,gauge_degradation,data_detection/images/train/IMG_20220106_143551.jpg,,gauge_degradation,"The gauge's dial is somewhat obscured by dirt or wear, and the lighting conditions combined with the angle make the specific graduation marks difficult to discern clearly.",,,
