scenario_id,field,status,reason,gates_metric
AOBv2-REAL-014,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-014,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-014,gauge_value,contested,dual-labeling disagreement,l1_mae
AOBv2-REAL-014,asset,trusted,dual labeling agrees,
AOBv2-REAL-015,gauge_readable,trusted,dual labeling agrees,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-015,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-015,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-015,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-015,gauge_value,trusted,dual labeling agrees,l1_mae
AOBv2-REAL-015,asset,trusted,dual labeling agrees,
AOBv2-REAL-016,gauge_readable,trusted,dual labeling agrees,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-016,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-016,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-016,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-016,gauge_value,trusted,dual labeling agrees,l1_mae
AOBv2-REAL-016,asset,trusted,dual labeling agrees,
AOBv2-REAL-017,gauge_readable,trusted,dual labeling agrees,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-017,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-017,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-017,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-017,gauge_value,contested,dual-labeling disagreement,l1_mae
AOBv2-REAL-017,asset,contested,dual-labeling disagreement,
AOBv2-REAL-018,gauge_readable,contested,dual-labeling disagreement,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-018,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-018,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-018,image_role,contested,dual-labeling disagreement,scenario_membership
AOBv2-REAL-018,gauge_value,contested,dual-labeling disagreement,l1_mae
AOBv2-REAL-018,asset,contested,dual-labeling disagreement,
AOBv2-REAL-019,gauge_readable,contested,dual-labeling disagreement,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-019,recommended_action,contested,dual-labeling disagreement,l3_action_accuracy
AOBv2-REAL-019,category,contested,dual-labeling disagreement,a12_recovery_rung
AOBv2-REAL-019,image_role,contested,dual-labeling disagreement,scenario_membership
AOBv2-REAL-019,gauge_value,contested,dual-labeling disagreement,l1_mae
AOBv2-REAL-019,asset,trusted,dual labeling agrees,
AOBv2-REAL-020,gauge_readable,trusted,dual labeling agrees,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-020,recommended_action,trusted,dual labeling agrees,l3_action_accuracy
AOBv2-REAL-020,category,trusted,dual labeling agrees,a12_recovery_rung
AOBv2-REAL-020,image_role,trusted,dual labeling agrees,scenario_membership
AOBv2-REAL-020,gauge_value,contested,dual-labeling disagreement,l1_mae
AOBv2-REAL-020,asset,trusted,dual labeling agrees,
AOBv2-REAL-021,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-021,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-021,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-021,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-021,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-021,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-022,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-022,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-022,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-022,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-022,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-022,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-023,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-023,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-023,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-023,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-023,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-023,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-024,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-024,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-024,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-024,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-024,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-024,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-025,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-025,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-025,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-025,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-025,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-025,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-026,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-026,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-026,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-026,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-026,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-026,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-027,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-027,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-027,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-027,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-027,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-027,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-028,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-028,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-028,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-028,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-028,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-028,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-029,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-029,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-029,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-029,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-029,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-029,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-030,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-030,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-030,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-030,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-030,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-030,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-031,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-031,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-031,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-031,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-031,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-031,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-032,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-032,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-032,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-032,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-032,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-032,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-033,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-033,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-033,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-033,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-033,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-033,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-034,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-034,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-034,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-034,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-034,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-034,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-035,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-035,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-035,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-035,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-035,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-035,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-036,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-036,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-036,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-036,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-036,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-036,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-037,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-037,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-037,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-037,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-037,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-037,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-038,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-038,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-038,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-038,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-038,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-038,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-039,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-039,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-039,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-039,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-039,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-039,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-040,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-040,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-040,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-040,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-040,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-040,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-041,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-041,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-041,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-041,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-041,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-041,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-042,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-042,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-042,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-042,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-042,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-042,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-043,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-043,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-043,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-043,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-043,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-043,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-044,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-044,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-044,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-044,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-044,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-044,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-045,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-045,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-045,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-045,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-045,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-045,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-046,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-046,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-046,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-046,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-046,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-046,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-047,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-047,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-047,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-047,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-047,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-047,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-048,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-048,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-048,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-048,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-048,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-048,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-049,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-049,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-049,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-049,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-049,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-049,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-050,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-050,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-050,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-050,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-050,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-050,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-051,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-051,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-051,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-051,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-051,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-051,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-052,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-052,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-052,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-052,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
AOBv2-REAL-052,gauge_value,pending,single labeling; random stratum not yet adjudicated,l1_mae
AOBv2-REAL-052,asset,pending,single labeling; random stratum not yet adjudicated,
AOBv2-REAL-053,gauge_readable,pending,single labeling; random stratum not yet adjudicated,"l1_accuracy_f1,l2_commit_rate"
AOBv2-REAL-053,recommended_action,pending,single labeling; random stratum not yet adjudicated,l3_action_accuracy
AOBv2-REAL-053,category,pending,single labeling; random stratum not yet adjudicated,a12_recovery_rung
AOBv2-REAL-053,image_role,pending,single labeling; random stratum not yet adjudicated,scenario_membership
